sentence,label,author,tok_lem_sentence,word_count
" There are besides two other states, a democracy and an oligarchy, one of which all speak of, and it is always esteemed a species of the four sorts; and thus they reckon them up; a monarchy, an oligarchy, a democracy, and this fourth which they call an aristocracy.",3,Aristotle,"['besides', 'two', 'state', 'democracy', 'oligarchy', 'one', 'speak', 'always', 'esteemed', 'specie', 'four', 'sort', 'thus', 'reckon', 'monarchy', 'oligarchy', 'democracy', 'fourth', 'call', 'aristocracy']",48
"Friendship of this kind is thought to exist principally among the old; and in such, of men in their prime and of the young, as are given to the pursuit of profit.",3,Aristotle,"['friendship', 'kind', 'thought', 'ist', 'principally', 'among', 'old', 'men', 'prime', 'young', 'given', 'pursuit', 'profit']",31
"The commissioners were enjoined to reclaim them, if possible; to impose penance on them, and to give them absolution; or, if these criminals were obstinate, to excommunicate and imprison them, and to deliver them over to the secular arm: and in the execution of this charge, they were not bound to observe the ordinary methods of trial; the forms of law were dispensed with; and if any statutes happened to interfere with the powers in the commission, they were overruled and abrogated by the council.",1,Hume,"['commissioner', 'enjoined', 'reclaim', 'possible', 'impose', 'penance', 'give', 'absolution', 'criminal', 'obstinate', 'communicate', 'imprison', 'deliver', 'secular', 'arm', 'ecution', 'charge', 'bound', 'observe', 'ordinary', 'method', 'trial', 'form', 'law', 'dispensed', 'statute', 'happened', 'interfere', 'power', 'commission', 'overruled', 'abrogated', 'council']",84
"These remedies, moreover, come to be violent ones; which is the very reason they are pursued, since the impression they produce on the mind is owing to their being looked at side by side with their contrary.",3,Aristotle,"['remedy', 'moreover', 'come', 'violent', 'one', 'reason', 'pursued', 'since', 'impression', 'produce', 'mind', 'owing', 'looked', 'side', 'side', 'contrary']",36
"When the lung, which is the dispenser of the air to the body, is obstructed by rheums and its passages are not free, some of them not acting, while through others too much air enters, then the parts which are unrefreshed by air corrode, while in other parts the excess of air forcing its way through the veins distorts them and decomposing the body is enclosed in the midst of it and occupies the midriff; thus numberless painful diseases are produced, accompanied by copious sweats.",2,Plato,"['lung', 'dispenser', 'air', 'body', 'obstructed', 'rheum', 'passage', 'free', 'acting', 'others', 'much', 'air', 'enters', 'part', 'unrefreshed', 'air', 'corrode', 'part', 'ce', 'air', 'forcing', 'way', 'vein', 'distorts', 'decomposing', 'body', 'enclosed', 'midst', 'occupies', 'midriff', 'thus', 'numberless', 'painful', 'disease', 'produced', 'accompanied', 'copious', 'sweat']",84
"The pectens disappear for some time in the sand, and so do the purpur.",3,Aristotle,"['pectens', 'disappear', 'time', 'sand', 'purpur']",13
"Let us confine ourselves, therefore, to the purification of our opinions and appreciations, and to the construction of new tables of value of our own:we will, however, brood no longer over the moral worth of our actions!",4,Nietzsche,"['let', 'u', 'confine', 'therefore', 'purification', 'opinion', 'appreciation', 'construction', 'new', 'table', 'value', 'however', 'brood', 'longer', 'moral', 'worth', 'action']",36
"The general discontent also, and mutinous humor of the people, seemed to require some great example of severity.",1,Hume,"['general', 'discontent', 'also', 'mutinous', 'humor', 'people', 'seemed', 'require', 'great', 'ample', 'severity']",17
"The king, however, who loved to maintain a balance in his councils, still supported Halifax, whom he created a marquis, and made privy seal; though ever in opposition to the duke.",1,Hume,"['king', 'however', 'loved', 'maintain', 'balance', 'council', 'still', 'supported', 'halifa', 'created', 'marquis', 'made', 'privy', 'seal', 'though', 'ever', 'opposition', 'duke']",30
": You said also, that no man could have good and evil fortune at the same time?",2,Plato,"['said', 'also', 'man', 'could', 'good', 'evil', 'fortune', 'time']",16
"This is the testimony of pleasure of which all religions are so proud, although they should all be ashamed of it.",4,Nietzsche,"['testimony', 'pleasure', 'religion', 'proud', 'although', 'ashamed']",20
"For I am satisfied he says, when a man is neither bad nor very stupid; and when he knows justice, and is of sound mind, I will find no fault with him, for I am not given to finding fault, and there are innumerable fools .",2,Plato,"['satisfied', 'say', 'man', 'neither', 'bad', 'stupid', 'know', 'justice', 'sound', 'mind', 'find', 'fault', 'given', 'finding', 'fault', 'innumerable', 'fool']",45
"But, seeing that we are no great wits, shall I venture to say what knowing is?",2,Plato,"['seeing', 'great', 'wit', 'shall', 'venture', 'say', 'knowing']",15
"Now the same relation that subsists between primary substance and everything else subsists also between the species and the genus to which the primary substance belongs, on the one hand, and every attribute which is not included within these, on the other.",3,Aristotle,"['relation', 'subsists', 'primary', 'substance', 'everything', 'else', 'subsists', 'also', 'specie', 'genus', 'primary', 'substance', 'belongs', 'one', 'hand', 'every', 'attribute', 'included', 'within']",41
"He may know the times, but I know his temper,away with the jigging fool!",4,Nietzsche,"['may', 'know', 'time', 'know', 'temper', 'away', 'jigging', 'fool']",13
"In the above case, then, every sensuous object would possess an empirical character, which guaranteed that its actions, as phenomena, stand in complete and harmonious connection, conformably to unvarying natural laws, with all other phenomena, and can be deduced from these, as conditions, and that they do thus, in connection with these, constitute a series in the order of nature.",0,Kant,"['case', 'every', 'sensuous', 'object', 'would', 'posse', 'empirical', 'character', 'guaranteed', 'action', 'phenomenon', 'stand', 'complete', 'harmonious', 'connection', 'conformably', 'unvarying', 'natural', 'law', 'phenomenon', 'deduced', 'condition', 'thus', 'connection', 'constitute', 'series', 'order', 'nature']",59
"Bradys Answer to Petyt, p. 161.",1,Hume,"['brady', 'answer', 'petyt']",5
"At the same time, there is still much room for improvement in the exposition of the doctrines contained in this work.",0,Kant,"['time', 'still', 'much', 'room', 'improvement', 'position', 'doctrine', 'contained', 'work']",20
"This ideality, like that of space, is not to be proved or illustrated by fallacious analogies with sensations, for this reasonthat in such arguments or illustrations, we make the presupposition that the phenomenon, in which such and such predicates inhere, has objective reality, while in this case we can only find such an objective reality as is itself empirical, that is, regards the object as a mere phenomenon.",0,Kant,"['ideality', 'like', 'space', 'proved', 'illustrated', 'fallacious', 'analogy', 'sensation', 'reasonthat', 'argument', 'illustration', 'make', 'presupposition', 'phenomenon', 'predicate', 'inhere', 'objective', 'reality', 'case', 'find', 'objective', 'reality', 'empirical', 'regard', 'object', 'mere', 'phenomenon']",67
"As every idea is derived from a precedent impression, had we any idea of the substance of our minds, we must also have an impression of it; which is very difficult, if not impossible, to be conceived.",1,Hume,"['every', 'idea', 'derived', 'precedent', 'impression', 'idea', 'substance', 'mind', 'must', 'also', 'impression', 'difficult', 'impossible', 'conceived']",36
"On their appearance, she immediately joined in commission with them some of the most considerable of her council; Sir Nicholas Bacon, lord keeper, the earls of Arundel and Leicester, Lord Clinton, admiral, and Sir William Cecil, secretary.",1,Hume,"['appearance', 'immediately', 'joined', 'commission', 'considerable', 'council', 'sir', 'nicholas', 'bacon', 'lord', 'keeper', 'earl', 'arundel', 'leicester', 'lord', 'clinton', 'admiral', 'sir', 'william', 'cecil', 'secretary']",36
"An inability to take seriously for any length of time their enemies, their disasters, their misdeeds--that is the sign of the full strong natures who possess a superfluity of moulding plastic force, that heals completely and produces forgetfulness: a good example of this in the modern world is Mirabeau, who had no memory for any insults and meannesses which were practised on him, and who was only incapable of forgiving because he forgot.",4,Nietzsche,"['inability', 'take', 'seriously', 'length', 'time', 'enemy', 'disaster', 'misdeed', 'sign', 'full', 'strong', 'nature', 'posse', 'superfluity', 'moulding', 'plastic', 'force', 'heals', 'completely', 'produce', 'forgetfulness', 'good', 'ample', 'modern', 'world', 'mirabeau', 'memory', 'insult', 'meanness', 'practised', 'incapable', 'forgiving', 'forgot']",72
"Though the gentleness and lenity of the kings temper might have insured them against schemes of future vengeance, they preferred, as is no doubt natural, an independent security, accompanied too with sovereign power, to the station of subjects, and that not entirely guarded from all apprehensions of danger.",1,Hume,"['though', 'gentleness', 'lenity', 'king', 'temper', 'might', 'insured', 'scheme', 'future', 'vengeance', 'preferred', 'doubt', 'natural', 'independent', 'security', 'accompanied', 'sovereign', 'power', 'station', 'subject', 'entirely', 'guarded', 'apprehension', 'danger']",47
"This is the nature of veins, sinews, and fibres.",3,Aristotle,"['nature', 'vein', 'sinew', 'fibre']",8
"But you will soon understand me.--Putting it shortly, there is reason enough, is there not, for us psychologists nowadays never getting from a certain mistrust of out own selves?",4,Nietzsche,"['soon', 'understand', 'putting', 'shortly', 'reason', 'enough', 'u', 'psychologist', 'nowadays', 'never', 'getting', 'certain', 'mistrust', 'self']",28
And all that is now to be at an end?,4,Nietzsche,['end'],9
"Again, in considering the subjects, to which these qualities adhere, I make a new supposition, which also appears probable from many obvious instances, viz, that these subjects are either parts of ourselves, or something nearly related to us.",1,Hume,"['considering', 'subject', 'quality', 'adhere', 'make', 'new', 'supposition', 'also', 'appears', 'probable', 'many', 'obvious', 'instance', 'viz', 'subject', 'either', 'part', 'something', 'nearly', 'related', 'u']",37
And thus much for the different sorts of judges.,3,Aristotle,"['thus', 'much', 'different', 'sort', 'judge']",8
The parliament did not grant the duty of tonnage and poundage to Henry ,1,Hume,"['parliament', 'grant', 'duty', 'tonnage', 'poundage', 'henry']",13
"The secular priests, finding themselves thus reduced to a grievous servitude, instilled into the people those discontents which they had long harbored in their own bosoms.",1,Hume,"['secular', 'priest', 'finding', 'thus', 'reduced', 'grievous', 'servitude', 'instilled', 'people', 'discontent', 'long', 'harbored', 'bosom']",25
"Moreover, it is upon such situations that the issues of good or bad fortune will depend.",3,Aristotle,"['moreover', 'upon', 'situation', 'issue', 'good', 'bad', 'fortune', 'depend']",15
"And, in sooth, the way is well paved thereto.",4,Nietzsche,"['sooth', 'way', 'well', 'paved', 'thereto']",8
In this manner they have usually a great affection for each other.,3,Aristotle,"['manner', 'usually', 'great', 'affection']",11
But this is contrary to every ones feeling and experience: It is contrary to an authority so established as nothing can subvert.,1,Hume,"['contrary', 'every', 'one', 'feeling', 'perience', 'contrary', 'authority', 'established', 'nothing', 'subvert']",21
": The trail soon comes to an end, for a whole profession is against us.",2,Plato,"['trail', 'soon', 'come', 'end', 'whole', 'profession', 'u']",14
"Then speak to them As to stray sheep: Your path, your path You have lost!",4,Nietzsche,"['speak', 'stray', 'sheep', 'path', 'path', 'lost']",14
"Essex was subject to fits of deep melancholy, and had been seized with one immediately upon his commitment: he was accustomed to maintain the lawfulness of suicide: and his countess upon a strict inquiry, which was committed to the care of Dr. Burnet, found no reason to confirm the suspicion: yet could not all these circumstances, joined to many others, entirely remove the imputation.",1,Hume,"['esse', 'subject', 'fit', 'deep', 'melancholy', 'seized', 'one', 'immediately', 'upon', 'commitment', 'accustomed', 'maintain', 'lawfulness', 'suicide', 'countess', 'upon', 'strict', 'inquiry', 'committed', 'care', 'dr', 'burnet', 'found', 'reason', 'confirm', 'suspicion', 'yet', 'could', 'circumstance', 'joined', 'many', 'others', 'entirely', 'remove', 'imputation']",63
"A number of other particulars there are, etc.",1,Hume,"['number', 'particular', 'etc']",7
"This prince possessed many eminent virtues; and if we give indulgence to ambition in a monarch, or rank it, as the vulgar are inclined to do, among his virtues, they were unstained by any considerable blemish.",1,Hume,"['prince', 'possessed', 'many', 'eminent', 'virtue', 'give', 'indulgence', 'ambition', 'monarch', 'rank', 'vulgar', 'inclined', 'among', 'virtue', 'unstained', 'considerable', 'blemish']",35
But James reserved the final blow for the time when he should himself pay a visit to Scotland.,1,Hume,"['james', 'reserved', 'final', 'blow', 'time', 'pay', 'visit', 'scotland']",17
"The conceptions of the understanding make us acquainted, among many other kinds of unity, with that of the causality of a substance, which is termed power.",0,Kant,"['conception', 'understanding', 'make', 'u', 'acquainted', 'among', 'many', 'kind', 'unity', 'causality', 'substance', 'termed', 'power']",25
"These topics, which were founded in truth, and suited so well the sentiments of the company, had the desired effect, and the barons embraced a resolution of redressing the public grievances, by taking into their own hands the administration of government.",1,Hume,"['topic', 'founded', 'truth', 'suited', 'well', 'sentiment', 'company', 'desired', 'effect', 'baron', 'embraced', 'resolution', 'redressing', 'public', 'grievance', 'taking', 'hand', 'administration', 'government']",40
"Exposition of the Duties of Virtue as Intermediate Duties as an end which is also a duty Physical perfection; that is, cultivation of all our faculties generally for the promotion of the ends set before us by reason.",0,Kant,"['position', 'duty', 'virtue', 'intermediate', 'duty', 'end', 'also', 'duty', 'physical', 'perfection', 'cultivation', 'faculty', 'generally', 'promotion', 'end', 'set', 'u', 'reason']",37
Has Protagoras robbed you of anything?,2,Plato,"['protagoras', 'robbed', 'anything']",5
"His close connections with-Spain and Scotland insured his tranquillity; and his continued successes over domestic enemies, owing to the prudence and vigor of his conduct, had reduced the people to entire submission and obedience.",1,Hume,"['close', 'connection', 'spain', 'scotland', 'insured', 'tranquillity', 'continued', 'success', 'domestic', 'enemy', 'owing', 'prudence', 'vigor', 'conduct', 'reduced', 'people', 'entire', 'submission', 'obedience']",33
The seventh sort are those who serve the public in expensive employments at their own charge: these are called the rich.,3,Aristotle,"['seventh', 'sort', 'serve', 'public', 'pensive', 'employment', 'charge', 'called', 'rich']",20
"As the Austrians were regularly paid, they were kept in more exact discipline; and James justly became apprehensive, lest so unequal a contest, besides ravaging the palatines hereditary dominions, would end in the total alienation of the peoples affections from their ancient sovereign, by whom they were plundered, and in an attachment to their new masters, by whom they were protected.",1,Hume,"['austrian', 'regularly', 'paid', 'kept', 'act', 'discipline', 'james', 'justly', 'became', 'apprehensive', 'lest', 'unequal', 'contest', 'besides', 'ravaging', 'palatine', 'hereditary', 'dominion', 'would', 'end', 'total', 'alienation', 'people', 'affection', 'ancient', 'sovereign', 'plundered', 'attachment', 'new', 'master', 'protected']",60
And perhaps worship the unknown thing as the unknown person in future?,4,Nietzsche,"['perhaps', 'worship', 'unknown', 'thing', 'unknown', 'person', 'future']",11
"Nay a person may extend this malice against himself, even to his present fortune, and carry it so far as designedly to seek affliction, and encrease his pains and sorrows.",1,Hume,"['nay', 'person', 'may', 'tend', 'malice', 'even', 'present', 'fortune', 'carry', 'far', 'designedly', 'seek', 'affliction', 'encrease', 'pain', 'sorrow']",29
"Nevertheless he does actually take an interest in it, the basis of which in us we call the moral feeling, which some have falsely assigned as the standard of our moral judgement, whereas it must rather be viewed as the subjective effect that the law exercises on the will, the objective principle of which is furnished by reason alone.",0,Kant,"['nevertheless', 'actually', 'take', 'interest', 'basis', 'u', 'call', 'moral', 'feeling', 'falsely', 'assigned', 'standard', 'moral', 'judgement', 'whereas', 'must', 'rather', 'viewed', 'subjective', 'effect', 'law', 'ercises', 'objective', 'principle', 'furnished', 'reason', 'alone']",58
"They found Mary already lodged in the Castle of Carlisle; and after expressing the queens sympathy with her in her late misfortunes, they told her, that her request of being allowed to visit their sovereign, and of being admitted to her presence, could not at present be complied with: till she had cleared herself of her husbands murder, of which she was so strongly accused, Elizabeth could not without dishonor show her any countenance, or appear indifferent to the assassination of so near a kinsman.",1,Hume,"['found', 'mary', 'already', 'lodged', 'castle', 'carlisle', 'pressing', 'queen', 'sympathy', 'late', 'misfortune', 'told', 'request', 'allowed', 'visit', 'sovereign', 'admitted', 'presence', 'could', 'present', 'complied', 'till', 'cleared', 'husband', 'murder', 'strongly', 'accused', 'elizabeth', 'could', 'without', 'dishonor', 'show', 'countenance', 'appear', 'indifferent', 'assassination', 'near', 'kinsman']",84
"For from thence we may immediately conclude, that since all impressions are clear and precise, the ideas, which are copyed from them, must be of the same nature, and can never, but from our fault, contain any thing so dark and intricate.",1,Hume,"['thence', 'may', 'immediately', 'conclude', 'since', 'impression', 'clear', 'precise', 'idea', 'copyed', 'must', 'nature', 'never', 'fault', 'contain', 'thing', 'dark', 'intricate']",41
"The two houses attended; while the king was proclaimed, with great solemnity, in Palace Yard, at Whitehall, and at Temple Bar.",1,Hume,"['two', 'house', 'attended', 'king', 'proclaimed', 'great', 'solemnity', 'palace', 'yard', 'whitehall', 'temple', 'bar']",20
"Neither doth water suit weary and withered ones: deserve wine-- alone giveth immediate vigour and improvised health! On this occasion, when the soothsayer was longing for wine, it happened that the king on the left, the silent one, also found expression for once.",4,Nietzsche,"['neither', 'doth', 'water', 'suit', 'weary', 'withered', 'one', 'deserve', 'wine', 'alone', 'giveth', 'immediate', 'vigour', 'improvised', 'health', 'occasion', 'soothsayer', 'longing', 'wine', 'happened', 'king', 'left', 'silent', 'one', 'also', 'found', 'pression']",42
"Twopence halfpenny are supposed to be the daily expense of each for meat, drink, and firing.",1,Hume,"['twopence', 'halfpenny', 'supposed', 'daily', 'pense', 'meat', 'drink', 'firing']",15
": And will life be worth having, if that higher part of man be destroyed, which is improved by justice and depraved by injustice?",2,Plato,"['life', 'worth', 'higher', 'part', 'man', 'destroyed', 'improved', 'justice', 'depraved', 'injustice']",23
"It seems to me that people always speak with exaggeration about pain and misfortune, as if it were a matter of good behaviour to exaggerate here: on the other hand people are intentionally silent in regard to the number of expedients for alleviating pain; as for instance, the deadening of it, or feverish flurry of thought, or a peaceful position, or good and bad reminiscences, intentions, hopes,also many kinds of pride and fellow-feeling which have almost the effect of ansthetics: while in the greatest degree of pain fainting takes place of itself.",4,Nietzsche,"['seems', 'people', 'always', 'speak', 'aggeration', 'pain', 'misfortune', 'matter', 'good', 'behaviour', 'aggerate', 'hand', 'people', 'intentionally', 'silent', 'regard', 'number', 'pedients', 'alleviating', 'pain', 'instance', 'deadening', 'feverish', 'flurry', 'thought', 'peaceful', 'position', 'good', 'bad', 'reminiscence', 'intention', 'hope', 'also', 'many', 'kind', 'pride', 'fellow', 'feeling', 'almost', 'effect', 'ansthetics', 'greatest', 'degree', 'pain', 'fainting', 'take', 'place']",91
"His heart, however, was loosed, and from his eyes there dropped down tears and fell upon his hands.",4,Nietzsche,"['heart', 'however', 'loosed', 'eye', 'dropped', 'tear', 'fell', 'upon', 'hand']",17
"The circumstances attending on the growth of man, from his conception in the womb even to old age, derived from his peculiar nature, are after this manner.",3,Aristotle,"['circumstance', 'attending', 'growth', 'man', 'conception', 'womb', 'even', 'old', 'age', 'derived', 'peculiar', 'nature', 'manner']",26
"Here a wife had first deserted, next invaded, and then dethroned her husband; had made her minor son an instrument in this unnatural treatment of his father; had, by lying pretences, seduced the nation into a rebellion against their sovereign had pushed them into violence and cruelties that had dishonored them: all those circumstances were so odious in themselves, and formed such a complicated scene of guilt, that the least reflection sufficed to open mens eyes, and make them detest this flagrant infringement of every public and private duty.",1,Hume,"['wife', 'first', 'deserted', 'ne', 'invaded', 'dethroned', 'husband', 'made', 'minor', 'son', 'instrument', 'unnatural', 'treatment', 'father', 'lying', 'pretence', 'seduced', 'nation', 'rebellion', 'sovereign', 'pushed', 'violence', 'cruelty', 'dishonored', 'circumstance', 'odious', 'formed', 'complicated', 'scene', 'guilt', 'least', 'reflection', 'sufficed', 'open', 'men', 'eye', 'make', 'detest', 'flagrant', 'infringement', 'every', 'public', 'private', 'duty']",88
" It was an instruction given by the house to the committee which framed one of these bills, to take care that the rates upon exportation may be as light as possible, and upon importation as heavy as trade will bear; a proof that the nature of commerce began now to be understood.",1,Hume,"['instruction', 'given', 'house', 'committee', 'framed', 'one', 'bill', 'take', 'care', 'rate', 'upon', 'portation', 'may', 'light', 'possible', 'upon', 'importation', 'heavy', 'trade', 'bear', 'proof', 'nature', 'commerce', 'began', 'understood']",52
"The preponderance of pain over pleasure or the reverse; both of these doctrines are already signposts to Nihilism.... For here, in both cases, no other final purpose is sought than the phenomenon pleasure or pain.",4,Nietzsche,"['preponderance', 'pain', 'pleasure', 'reverse', 'doctrine', 'already', 'signpost', 'nihilism', 'case', 'final', 'purpose', 'sought', 'phenomenon', 'pleasure', 'pain']",34
"The Presbyterian, or the moderate party among the commons, found themselves considerably weakened by his death; and the small remains of authority, which still adhered to the house of peers, were in a manner wholly extinguished.",1,Hume,"['presbyterian', 'moderate', 'party', 'among', 'common', 'found', 'considerably', 'weakened', 'death', 'small', 'remains', 'authority', 'still', 'adhered', 'house', 'peer', 'manner', 'wholly', 'tinguished']",35
"In a subsequent parliament, when the speaker made his customary application to the throne for liberty of speech, the king, having now overcome all his domestic difficulties, plainly told him that he would have no novelties introduced, and would enjoy his prerogatives.",1,Hume,"['subsequent', 'parliament', 'speaker', 'made', 'customary', 'application', 'throne', 'liberty', 'speech', 'king', 'overcome', 'domestic', 'difficulty', 'plainly', 'told', 'would', 'novelty', 'introduced', 'would', 'enjoy', 'prerogative']",41
": Let us carry the principle which has just been affirmed, that nothing is self-existent, and then we shall see that white, black, and every other colour, arises out of the eye meeting the appropriate motion, and that what we call a colour is in each case neither the active nor the passive element, but something which passes between them, and is peculiar to each percipient; are you quite certain that the several colours appear to a dog or to any animal whatever as they appear to you?",2,Plato,"['let', 'u', 'carry', 'principle', 'affirmed', 'nothing', 'self', 'istent', 'shall', 'see', 'white', 'black', 'every', 'colour', 'arises', 'eye', 'meeting', 'appropriate', 'motion', 'call', 'colour', 'case', 'neither', 'active', 'passive', 'element', 'something', 'pass', 'peculiar', 'percipient', 'quite', 'certain', 'several', 'colour', 'appear', 'dog', 'animal', 'whatever', 'appear']",87
"Even the ladies of the court valued themselves on knowledge: Lady Burleigh, Lady Bacon, and their two sisters, were mistresses of the ancient as well as modern languages; and placed more pride in their erudition than in their rank and quality.",1,Hume,"['even', 'lady', 'court', 'valued', 'knowledge', 'lady', 'burleigh', 'lady', 'bacon', 'two', 'sister', 'mistress', 'ancient', 'well', 'modern', 'language', 'placed', 'pride', 'erudition', 'rank', 'quality']",40
" But though there remained at that time in England an idea of laws and a constitution, sufficient at least to furnish a topic of argument to such as were discontented with any immediate exercise of authority; this plea could scarcely, in the present case, be maintained with any plausibility by Gardiner.",1,Hume,"['though', 'remained', 'time', 'england', 'idea', 'law', 'constitution', 'sufficient', 'least', 'furnish', 'topic', 'argument', 'discontented', 'immediate', 'ercise', 'authority', 'plea', 'could', 'scarcely', 'present', 'case', 'maintained', 'plausibility', 'gardiner']",51
Now you must regard this as a matter of first-rate importance.,2,Plato,"['must', 'regard', 'matter', 'first', 'rate', 'importance']",10
" There are certain sects which secretly form themselves in the learned world, as well as factions in the political; and though sometimes they come not to an open rupture, they give a different turn to the ways of thinking of those who have taken part on either side.",1,Hume,"['certain', 'sect', 'secretly', 'form', 'learned', 'world', 'well', 'faction', 'political', 'though', 'sometimes', 'come', 'open', 'rupture', 'give', 'different', 'turn', 'way', 'thinking', 'taken', 'part', 'either', 'side']",48
"First, because we maintained that Moral Virtue and Moral Vice are both concerned with Pains and Pleasures: next, because the greater part of mankind assert that Happiness must include Pleasure.",3,Aristotle,"['first', 'maintained', 'moral', 'virtue', 'moral', 'vice', 'concerned', 'pain', 'pleasure', 'ne', 'greater', 'part', 'mankind', 'assert', 'happiness', 'must', 'include', 'pleasure']",29
"He feels that he is himself sanctified by this mission, that he is himself a type of a higher order!...",4,Nietzsche,"['feel', 'sanctified', 'mission', 'type', 'higher', 'order']",19
"Am I not right, sweet Phaedrus?",2,Plato,"['right', 'sweet', 'phaedrus']",5
"One may be perfectly justified in being always afraid of the blonde beast that lies at the core of all aristocratic races, and in being on ones guard: but who would not a hundred times prefer to be afraid, when one at the same time admires, than to be immune from fear, at the cost of being perpetually obsessed with the loathsome spectacle of the distorted, the dwarfed, the stunted, the envenomed?",4,Nietzsche,"['one', 'may', 'perfectly', 'justified', 'always', 'afraid', 'blonde', 'beast', 'lie', 'core', 'aristocratic', 'race', 'one', 'guard', 'would', 'hundred', 'time', 'prefer', 'afraid', 'one', 'time', 'admires', 'immune', 'fear', 'cost', 'perpetually', 'obsessed', 'loathsome', 'spectacle', 'distorted', 'dwarfed', 'stunted', 'envenomed']",71
